Ref_Date,GEO,COMP,Vector,Coordinate,Value
1967,Quebec,Farm value per head (dollars),v62209,5.2,226.00
1968,Quebec,Farm value per head (dollars),v62209,5.2,226.00
1969,Quebec,Farm value per head (dollars),v62209,5.2,228.00
1970,Quebec,Farm value per head (dollars),v62209,5.2,229.00
1971,Quebec,Farm value per head (dollars),v62209,5.2,221.00
1972,Quebec,Farm value per head (dollars),v62209,5.2,223.00
1973,Quebec,Farm value per head (dollars),v62209,5.2,284.00
1914,Ontario,Farm value per head (dollars),v62210,6.2,116.00
1915,Ontario,Farm value per head (dollars),v62210,6.2,120.00
1916,Ontario,Farm value per head (dollars),v62210,6.2,125.00
1917,Ontario,Farm value per head (dollars),v62210,6.2,113.00
1918,Ontario,Farm value per head (dollars),v62210,6.2,111.00
1919,Ontario,Farm value per head (dollars),v62210,6.2,110.00
1920,Ontario,Farm value per head (dollars),v62210,6.2,108.00
1921,Ontario,Farm value per head (dollars),v62210,6.2,123.00
1922,Ontario,Farm value per head (dollars),v62210,6.2,90.00
1923,Ontario,Farm value per head (dollars),v62210,6.2,84.00
1924,Ontario,Farm value per head (dollars),v62210,6.2,80.00
1925,Ontario,Farm value per head (dollars),v62210,6.2,89.00
1926,Ontario,Farm value per head (dollars),v62210,6.2,95.00
1927,Ontario,Farm value per head (dollars),v62210,6.2,101.00
1928,Ontario,Farm value per head (dollars),v62210,6.2,99.00
1929,Ontario,Farm value per head (dollars),v62210,6.2,94.00
1930,Ontario,Farm value per head (dollars),v62210,6.2,81.00
1931,Ontario,Farm value per head (dollars),v62210,6.2,88.00
1932,Ontario,Farm value per head (dollars),v62210,6.2,63.00
1933,Ontario,Farm value per head (dollars),v62210,6.2,75.00
1934,Ontario,Farm value per head (dollars),v62210,6.2,81.00
1935,Ontario,Farm value per head (dollars),v62210,6.2,92.00
1936,Ontario,Farm value per head (dollars),v62210,6.2,105.00
1937,Ontario,Farm value per head (dollars),v62210,6.2,103.00
1938,Ontario,Farm value per head (dollars),v62210,6.2,102.00
1939,Ontario,Farm value per head (dollars),v62210,6.2,92.00
1940,Ontario,Farm value per head (dollars),v62210,6.2,80.00
1941,Ontario,Farm value per head (dollars),v62210,6.2,86.00
1942,Ontario,Farm value per head (dollars),v62210,6.2,88.00
1943,Ontario,Farm value per head (dollars),v62210,6.2,109.00
1944,Ontario,Farm value per head (dollars),v62210,6.2,102.00
1945,Ontario,Farm value per head (dollars),v62210,6.2,95.00
1946,Ontario,Farm value per head (dollars),v62210,6.2,98.00
1947,Ontario,Farm value per head (dollars),v62210,6.2,99.00
1948,Ontario,Farm value per head (dollars),v62210,6.2,95.00
1949,Ontario,Farm value per head (dollars),v62210,6.2,91.00
1950,Ontario,Farm value per head (dollars),v62210,6.2,83.00
1951,Ontario,Farm value per head (dollars),v62210,6.2,86.00
1952,Ontario,Farm value per head (dollars),v62210,6.2,98.00
1953,Ontario,Farm value per head (dollars),v62210,6.2,91.00
1954,Ontario,Farm value per head (dollars),v62210,6.2,89.00
1955,Ontario,Farm value per head (dollars),v62210,6.2,114.00
1956,Ontario,Farm value per head (dollars),v62210,6.2,109.00
1957,Ontario,Farm value per head (dollars),v62210,6.2,120.00
1958,Ontario,Farm value per head (dollars),v62210,6.2,130.00
1959,Ontario,Farm value per head (dollars),v62210,6.2,142.00
1960,Ontario,Farm value per head (dollars),v62210,6.2,158.00
1961,Ontario,Farm value per head (dollars),v62210,6.2,163.00
1962,Ontario,Farm value per head (dollars),v62210,6.2,165.00
1963,Ontario,Farm value per head (dollars),v62210,6.2,171.00
1964,Ontario,Farm value per head (dollars),v62210,6.2,174.00
1965,Ontario,Farm value per head (dollars),v62210,6.2,174.00
1966,Ontario,Farm value per head (dollars),v62210,6.2,180.00
1967,Ontario,Farm value per head (dollars),v62210,6.2,191.00
1968,Ontario,Farm value per head (dollars),v62210,6.2,199.00
1969,Ontario,Farm value per head (dollars),v62210,6.2,202.00
1970,Ontario,Farm value per head (dollars),v62210,6.2,209.00
1971,Ontario,Farm value per head (dollars),v62210,6.2,204.00
1972,Ontario,Farm value per head (dollars),v62210,6.2,211.00
1973,Ontario,Farm value per head (dollars),v62210,6.2,267.00
1914,Manitoba,Farm value per head (dollars),v62211,7.2,131.00
1915,Manitoba,Farm value per head (dollars),v62211,7.2,133.00
1916,Manitoba,Farm value per head (dollars),v62211,7.2,128.00
1917,Manitoba,Farm value per head (dollars),v62211,7.2,138.00
1918,Manitoba,Farm value per head (dollars),v62211,7.2,141.00
1919,Manitoba,Farm value per head (dollars),v62211,7.2,131.00
1920,Manitoba,Farm value per head (dollars),v62211,7.2,114.00
1921,Manitoba,Farm value per head (dollars),v62211,7.2,134.00
1922,Manitoba,Farm value per head (dollars),v62211,7.2,84.00
1923,Manitoba,Farm value per head (dollars),v62211,7.2,64.00
1924,Manitoba,Farm value per head (dollars),v62211,7.2,62.00
1925,Manitoba,Farm value per head (dollars),v62211,7.2,69.00
1926,Manitoba,Farm value per head (dollars),v62211,7.2,70.00
1927,Manitoba,Farm value per head (dollars),v62211,7.2,77.00
1928,Manitoba,Farm value per head (dollars),v62211,7.2,75.00
1929,Manitoba,Farm value per head (dollars),v62211,7.2,64.00
1930,Manitoba,Farm value per head (dollars),v62211,7.2,52.00
1931,Manitoba,Farm value per head (dollars),v62211,7.2,62.00
1932,Manitoba,Farm value per head (dollars),v62211,7.2,38.00
1933,Manitoba,Farm value per head (dollars),v62211,7.2,45.00
1934,Manitoba,Farm value per head (dollars),v62211,7.2,49.00
1935,Manitoba,Farm value per head (dollars),v62211,7.2,54.00
1936,Manitoba,Farm value per head (dollars),v62211,7.2,62.00
1937,Manitoba,Farm value per head (dollars),v62211,7.2,64.00
1938,Manitoba,Farm value per head (dollars),v62211,7.2,58.00
1939,Manitoba,Farm value per head (dollars),v62211,7.2,56.00
1940,Manitoba,Farm value per head (dollars),v62211,7.2,50.00
1941,Manitoba,Farm value per head (dollars),v62211,7.2,54.00
1942,Manitoba,Farm value per head (dollars),v62211,7.2,55.00
1943,Manitoba,Farm value per head (dollars),v62211,7.2,65.00
1944,Manitoba,Farm value per head (dollars),v62211,7.2,59.00
1945,Manitoba,Farm value per head (dollars),v62211,7.2,53.00
1946,Manitoba,Farm value per head (dollars),v62211,7.2,54.00
1947,Manitoba,Farm value per head (dollars),v62211,7.2,59.00
1948,Manitoba,Farm value per head (dollars),v62211,7.2,58.00
1949,Manitoba,Farm value per head (dollars),v62211,7.2,59.00
1950,Manitoba,Farm value per head (dollars),v62211,7.2,52.00
1951,Manitoba,Farm value per head (dollars),v62211,7.2,53.00
1952,Manitoba,Farm value per head (dollars),v62211,7.2,56.00
1953,Manitoba,Farm value per head (dollars),v62211,7.2,55.00
1954,Manitoba,Farm value per head (dollars),v62211,7.2,54.00
1955,Manitoba,Farm value per head (dollars),v62211,7.2,67.00
1956,Manitoba,Farm value per head (dollars),v62211,7.2,82.00
1957,Manitoba,Farm value per head (dollars),v62211,7.2,85.00
1958,Manitoba,Farm value per head (dollars),v62211,7.2,98.00
1959,Manitoba,Farm value per head (dollars),v62211,7.2,106.00
1960,Manitoba,Farm value per head (dollars),v62211,7.2,109.00
1961,Manitoba,Farm value per head (dollars),v62211,7.2,115.00
1962,Manitoba,Farm value per head (dollars),v62211,7.2,115.00
1963,Manitoba,Farm value per head (dollars),v62211,7.2,116.00
1964,Manitoba,Farm value per head (dollars),v62211,7.2,127.00
1965,Manitoba,Farm value per head (dollars),v62211,7.2,116.00
1966,Manitoba,Farm value per head (dollars),v62211,7.2,121.00
1967,Manitoba,Farm value per head (dollars),v62211,7.2,124.00
1968,Manitoba,Farm value per head (dollars),v62211,7.2,123.00
1969,Manitoba,Farm value per head (dollars),v62211,7.2,122.00
1970,Manitoba,Farm value per head (dollars),v62211,7.2,121.00
1971,Manitoba,Farm value per head (dollars),v62211,7.2,116.00
1972,Manitoba,Farm value per head (dollars),v62211,7.2,130.00
1973,Manitoba,Farm value per head (dollars),v62211,7.2,196.00
1914,Saskatchewan,Farm value per head (dollars),v62201,8.2,148.00
1915,Saskatchewan,Farm value per head (dollars),v62201,8.2,147.00
1916,Saskatchewan,Farm value per head (dollars),v62201,8.2,150.00
1917,Saskatchewan,Farm value per head (dollars),v62201,8.2,138.00
1918,Saskatchewan,Farm value per head (dollars),v62201,8.2,149.00
1919,Saskatchewan,Farm value per head (dollars),v62201,8.2,130.00
1920,Saskatchewan,Farm value per head (dollars),v62201,8.2,108.00
1921,Saskatchewan,Farm value per head (dollars),v62201,8.2,126.00
1922,Saskatchewan,Farm value per head (dollars),v62201,8.2,67.00
1923,Saskatchewan,Farm value per head (dollars),v62201,8.2,53.00
1924,Saskatchewan,Farm value per head (dollars),v62201,8.2,60.00
1925,Saskatchewan,Farm value per head (dollars),v62201,8.2,66.00
1926,Saskatchewan,Farm value per head (dollars),v62201,8.2,66.00
1927,Saskatchewan,Farm value per head (dollars),v62201,8.2,66.00
1928,Saskatchewan,Farm value per head (dollars),v62201,8.2,65.00
1929,Saskatchewan,Farm value per head (dollars),v62201,8.2,56.00
1930,Saskatchewan,Farm value per head (dollars),v62201,8.2,50.00
1931,Saskatchewan,Farm value per head (dollars),v62201,8.2,54.00
1932,Saskatchewan,Farm value per head (dollars),v62201,8.2,34.00
1933,Saskatchewan,Farm value per head (dollars),v62201,8.2,38.00
1934,Saskatchewan,Farm value per head (dollars),v62201,8.2,42.00
1935,Saskatchewan,Farm value per head (dollars),v62201,8.2,49.00
1936,Saskatchewan,Farm value per head (dollars),v62201,8.2,56.00
1937,Saskatchewan,Farm value per head (dollars),v62201,8.2,53.00
1938,Saskatchewan,Farm value per head (dollars),v62201,8.2,50.00
1939,Saskatchewan,Farm value per head (dollars),v62201,8.2,50.00
1940,Saskatchewan,Farm value per head (dollars),v62201,8.2,45.00
1941,Saskatchewan,Farm value per head (dollars),v62201,8.2,50.00
1942,Saskatchewan,Farm value per head (dollars),v62201,8.2,52.00
1943,Saskatchewan,Farm value per head (dollars),v62201,8.2,55.00
1944,Saskatchewan,Farm value per head (dollars),v62201,8.2,48.00
1945,Saskatchewan,Farm value per head (dollars),v62201,8.2,40.00
1946,Saskatchewan,Farm value per head (dollars),v62201,8.2,42.00
1947,Saskatchewan,Farm value per head (dollars),v62201,8.2,45.00
1948,Saskatchewan,Farm value per head (dollars),v62201,8.2,46.00
1949,Saskatchewan,Farm value per head (dollars),v62201,8.2,45.00
1950,Saskatchewan,Farm value per head (dollars),v62201,8.2,38.00
1951,Saskatchewan,Farm value per head (dollars),v62201,8.2,42.00
1952,Saskatchewan,Farm value per head (dollars),v62201,8.2,43.00
1953,Saskatchewan,Farm value per head (dollars),v62201,8.2,45.00
1954,Saskatchewan,Farm value per head (dollars),v62201,8.2,46.00
1955,Saskatchewan,Farm value per head (dollars),v62201,8.2,55.00
1956,Saskatchewan,Farm value per head (dollars),v62201,8.2,65.00
1957,Saskatchewan,Farm value per head (dollars),v62201,8.2,74.00
1958,Saskatchewan,Farm value per head (dollars),v62201,8.2,79.00
1959,Saskatchewan,Farm value per head (dollars),v62201,8.2,88.00
1960,Saskatchewan,Farm value per head (dollars),v62201,8.2,92.00
1961,Saskatchewan,Farm value per head (dollars),v62201,8.2,95.00
1962,Saskatchewan,Farm value per head (dollars),v62201,8.2,99.00
1963,Saskatchewan,Farm value per head (dollars),v62201,8.2,101.00
1964,Saskatchewan,Farm value per head (dollars),v62201,8.2,104.00
1965,Saskatchewan,Farm value per head (dollars),v62201,8.2,106.00
1966,Saskatchewan,Farm value per head (dollars),v62201,8.2,110.00
1967,Saskatchewan,Farm value per head (dollars),v62201,8.2,118.00
1968,Saskatchewan,Farm value per head (dollars),v62201,8.2,117.00
1969,Saskatchewan,Farm value per head (dollars),v62201,8.2,123.00
1970,Saskatchewan,Farm value per head (dollars),v62201,8.2,118.00
1971,Saskatchewan,Farm value per head (dollars),v62201,8.2,113.00
1972,Saskatchewan,Farm value per head (dollars),v62201,8.2,130.00
1973,Saskatchewan,Farm value per head (dollars),v62201,8.2,164.00
1914,Alberta,Farm value per head (dollars),v62202,9.2,108.00
1915,Alberta,Farm value per head (dollars),v62202,9.2,113.00
1916,Alberta,Farm value per head (dollars),v62202,9.2,122.00
1917,Alberta,Farm value per head (dollars),v62202,9.2,122.00
1918,Alberta,Farm value per head (dollars),v62202,9.2,107.00
1919,Alberta,Farm value per head (dollars),v62202,9.2,94.00
1920,Alberta,Farm value per head (dollars),v62202,9.2,80.00
1921,Alberta,Farm value per head (dollars),v62202,9.2,94.00
1922,Alberta,Farm value per head (dollars),v62202,9.2,42.00
1923,Alberta,Farm value per head (dollars),v62202,9.2,40.00
1924,Alberta,Farm value per head (dollars),v62202,9.2,38.00
1925,Alberta,Farm value per head (dollars),v62202,9.2,43.00
1926,Alberta,Farm value per head (dollars),v62202,9.2,45.00
1927,Alberta,Farm value per head (dollars),v62202,9.2,52.00
1928,Alberta,Farm value per head (dollars),v62202,9.2,51.00
1929,Alberta,Farm value per head (dollars),v62202,9.2,49.00
1930,Alberta,Farm value per head (dollars),v62202,9.2,41.00
1931,Alberta,Farm value per head (dollars),v62202,9.2,46.00
1932,Alberta,Farm value per head (dollars),v62202,9.2,28.00
1933,Alberta,Farm value per head (dollars),v62202,9.2,32.00
1934,Alberta,Farm value per head (dollars),v62202,9.2,39.00
1935,Alberta,Farm value per head (dollars),v62202,9.2,42.00
1936,Alberta,Farm value per head (dollars),v62202,9.2,50.00
1937,Alberta,Farm value per head (dollars),v62202,9.2,49.00
1938,Alberta,Farm value per head (dollars),v62202,9.2,49.00
1939,Alberta,Farm value per head (dollars),v62202,9.2,45.00
1940,Alberta,Farm value per head (dollars),v62202,9.2,43.00
1941,Alberta,Farm value per head (dollars),v62202,9.2,47.00
1942,Alberta,Farm value per head (dollars),v62202,9.2,50.00
1943,Alberta,Farm value per head (dollars),v62202,9.2,55.00
1944,Alberta,Farm value per head (dollars),v62202,9.2,49.00
1945,Alberta,Farm value per head (dollars),v62202,9.2,41.00
1946,Alberta,Farm value per head (dollars),v62202,9.2,46.00
1947,Alberta,Farm value per head (dollars),v62202,9.2,48.00
1948,Alberta,Farm value per head (dollars),v62202,9.2,50.00
1949,Alberta,Farm value per head (dollars),v62202,9.2,49.00
1950,Alberta,Farm value per head (dollars),v62202,9.2,41.00
1951,Alberta,Farm value per head (dollars),v62202,9.2,44.00
1952,Alberta,Farm value per head (dollars),v62202,9.2,50.00
1953,Alberta,Farm value per head (dollars),v62202,9.2,51.00
1954,Alberta,Farm value per head (dollars),v62202,9.2,50.00
1955,Alberta,Farm value per head (dollars),v62202,9.2,62.00
1956,Alberta,Farm value per head (dollars),v62202,9.2,64.00
1957,Alberta,Farm value per head (dollars),v62202,9.2,72.00
1958,Alberta,Farm value per head (dollars),v62202,9.2,84.00
1959,Alberta,Farm value per head (dollars),v62202,9.2,93.00
1960,Alberta,Farm value per head (dollars),v62202,9.2,99.00
1961,Alberta,Farm value per head (dollars),v62202,9.2,103.00
1962,Alberta,Farm value per head (dollars),v62202,9.2,105.00
1963,Alberta,Farm value per head (dollars),v62202,9.2,109.00
1964,Alberta,Farm value per head (dollars),v62202,9.2,112.00
1965,Alberta,Farm value per head (dollars),v62202,9.2,112.00
1966,Alberta,Farm value per head (dollars),v62202,9.2,120.00
1967,Alberta,Farm value per head (dollars),v62202,9.2,132.00
1968,Alberta,Farm value per head (dollars),v62202,9.2,131.00
1969,Alberta,Farm value per head (dollars),v62202,9.2,142.00
1970,Alberta,Farm value per head (dollars),v62202,9.2,139.00
1971,Alberta,Farm value per head (dollars),v62202,9.2,133.00
1972,Alberta,Farm value per head (dollars),v62202,9.2,154.00
1973,Alberta,Farm value per head (dollars),v62202,9.2,188.00
1914,British Columbia,Farm value per head (dollars),v62203,10.2,119.00
1915,British Columbia,Farm value per head (dollars),v62203,10.2,102.00
1916,British Columbia,Farm value per head (dollars),v62203,10.2,108.00
1917,British Columbia,Farm value per head (dollars),v62203,10.2,118.00
1918,British Columbia,Farm value per head (dollars),v62203,10.2,123.00
1919,British Columbia,Farm value per head (dollars),v62203,10.2,129.00
1920,British Columbia,Farm value per head (dollars),v62203,10.2,126.00
1921,British Columbia,Farm value per head (dollars),v62203,10.2,97.00
1922,British Columbia,Farm value per head (dollars),v62203,10.2,78.00
1923,British Columbia,Farm value per head (dollars),v62203,10.2,75.00
1924,British Columbia,Farm value per head (dollars),v62203,10.2,71.00
1925,British Columbia,Farm value per head (dollars),v62203,10.2,75.00
1926,British Columbia,Farm value per head (dollars),v62203,10.2,78.00
1927,British Columbia,Farm value per head (dollars),v62203,10.2,78.00
1928,British Columbia,Farm value per head (dollars),v62203,10.2,76.00
1929,British Columbia,Farm value per head (dollars),v62203,10.2,77.00
1930,British Columbia,Farm value per head (dollars),v62203,10.2,72.00
1931,British Columbia,Farm value per head (dollars),v62203,10.2,55.00
1932,British Columbia,Farm value per head (dollars),v62203,10.2,54.00
1933,British Columbia,Farm value per head (dollars),v62203,10.2,55.00
1934,British Columbia,Farm value per head (dollars),v62203,10.2,56.00
1935,British Columbia,Farm value per head (dollars),v62203,10.2,58.00
1936,British Columbia,Farm value per head (dollars),v62203,10.2,65.00
1937,British Columbia,Farm value per head (dollars),v62203,10.2,70.00
1938,British Columbia,Farm value per head (dollars),v62203,10.2,73.00
1939,British Columbia,Farm value per head (dollars),v62203,10.2,75.00
1940,British Columbia,Farm value per head (dollars),v62203,10.2,76.00
1941,British Columbia,Farm value per head (dollars),v62203,10.2,58.00
1942,British Columbia,Farm value per head (dollars),v62203,10.2,62.00
1943,British Columbia,Farm value per head (dollars),v62203,10.2,103.00
1944,British Columbia,Farm value per head (dollars),v62203,10.2,101.00
1945,British Columbia,Farm value per head (dollars),v62203,10.2,96.00
1946,British Columbia,Farm value per head (dollars),v62203,10.2,100.00
1947,British Columbia,Farm value per head (dollars),v62203,10.2,98.00
1948,British Columbia,Farm value per head (dollars),v62203,10.2,102.00
1949,British Columbia,Farm value per head (dollars),v62203,10.2,98.00
1950,British Columbia,Farm value per head (dollars),v62203,10.2,96.00
1951,British Columbia,Farm value per head (dollars),v62203,10.2,79.00
1952,British Columbia,Farm value per head (dollars),v62203,10.2,84.00
1953,British Columbia,Farm value per head (dollars),v62203,10.2,81.00
1954,British Columbia,Farm value per head (dollars),v62203,10.2,74.00
1955,British Columbia,Farm value per head (dollars),v62203,10.2,74.00
1956,British Columbia,Farm value per head (dollars),v62203,10.2,77.00
1957,British Columbia,Farm value per head (dollars),v62203,10.2,82.00
1958,British Columbia,Farm value per head (dollars),v62203,10.2,95.00
1959,British Columbia,Farm value per head (dollars),v62203,10.2,107.00
1960,British Columbia,Farm value per head (dollars),v62203,10.2,112.00
1961,British Columbia,Farm value per head (dollars),v62203,10.2,122.00
1962,British Columbia,Farm value per head (dollars),v62203,10.2,125.00
1963,British Columbia,Farm value per head (dollars),v62203,10.2,131.00
1964,British Columbia,Farm value per head (dollars),v62203,10.2,135.00
1965,British Columbia,Farm value per head (dollars),v62203,10.2,139.00
1966,British Columbia,Farm value per head (dollars),v62203,10.2,144.00
1967,British Columbia,Farm value per head (dollars),v62203,10.2,159.00
1968,British Columbia,Farm value per head (dollars),v62203,10.2,165.00
1969,British Columbia,Farm value per head (dollars),v62203,10.2,178.00
1970,British Columbia,Farm value per head (dollars),v62203,10.2,180.00
1971,British Columbia,Farm value per head (dollars),v62203,10.2,169.00
1972,British Columbia,Farm value per head (dollars),v62203,10.2,190.00
1973,British Columbia,Farm value per head (dollars),v62203,10.2,220.00
