Ref_Date,GEO,DATE,Vector,Coordinate,Value
1958,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,13.7
1959,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,11.4
1960,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,9.7
1961,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,8.9
1962,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,8.0
1963,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,7.0
1964,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,6.7
1965,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,6.3
1966,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,5.7
1967,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,5.3
1968,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,5.0
1969,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,4.4
1970,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,4.2
1971,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,3.8
1972,New Brunswick,"At December 1 (x 1,000)",v62225,4.2,3.0
1906,Quebec,"At June 1 (x 1,000)",v62216,5.1,341.2
1907,Quebec,"At June 1 (x 1,000)",v62216,5.1,352.6
1908,Quebec,"At June 1 (x 1,000)",v62216,5.1,363.9
1909,Quebec,"At June 1 (x 1,000)",v62216,5.1,365.0
1910,Quebec,"At June 1 (x 1,000)",v62216,5.1,370.7
1911,Quebec,"At June 1 (x 1,000)",v62216,5.1,371.6
1912,Quebec,"At June 1 (x 1,000)",v62216,5.1,364.7
1913,Quebec,"At June 1 (x 1,000)",v62216,5.1,362.3
1914,Quebec,"At June 1 (x 1,000)",v62216,5.1,359.5
1915,Quebec,"At June 1 (x 1,000)",v62216,5.1,355.2
1916,Quebec,"At June 1 (x 1,000)",v62216,5.1,352.8
1917,Quebec,"At June 1 (x 1,000)",v62216,5.1,351.6
1918,Quebec,"At June 1 (x 1,000)",v62216,5.1,361.8
1919,Quebec,"At June 1 (x 1,000)",v62216,5.1,378.8
1920,Quebec,"At June 1 (x 1,000)",v62216,5.1,362.4
1921,Quebec,"At June 1 (x 1,000)",v62216,5.1,332.6
1922,Quebec,"At June 1 (x 1,000)",v62216,5.1,322.2
1923,Quebec,"At June 1 (x 1,000)",v62216,5.1,318.5
1924,Quebec,"At June 1 (x 1,000)",v62216,5.1,321.3
1925,Quebec,"At June 1 (x 1,000)",v62216,5.1,321.4
1926,Quebec,"At June 1 (x 1,000)",v62216,5.1,321.7
1927,Quebec,"At June 1 (x 1,000)",v62216,5.1,323.9
1928,Quebec,"At June 1 (x 1,000)",v62216,5.1,324.3
1929,Quebec,"At June 1 (x 1,000)",v62216,5.1,321.2
1930,Quebec,"At June 1 (x 1,000)",v62216,5.1,312.1
1931,Quebec,"At June 1 (x 1,000)",v62216,5.1,301.4
1932,Quebec,"At June 1 (x 1,000)",v62216,5.1,300.0
1933,Quebec,"At June 1 (x 1,000)",v62216,5.1,272.4
1934,Quebec,"At June 1 (x 1,000)",v62216,5.1,271.5
1935,Quebec,"At June 1 (x 1,000)",v62216,5.1,275.8
1936,Quebec,"At June 1 (x 1,000)",v62216,5.1,282.4
1937,Quebec,"At June 1 (x 1,000)",v62216,5.1,294.2
1938,Quebec,"At June 1 (x 1,000)",v62216,5.1,306.9
1939,Quebec,"At June 1 (x 1,000)",v62216,5.1,317.4
1940,Quebec,"At June 1 (x 1,000)",v62216,5.1,328.1
1941,Quebec,"At June 1 (x 1,000)",v62216,5.1,332.7
1942,Quebec,"At June 1 (x 1,000)",v62216,5.1,326.0
1943,Quebec,"At June 1 (x 1,000)",v62216,5.1,319.0
1944,Quebec,"At June 1 (x 1,000)",v62216,5.1,325.0
1945,Quebec,"At June 1 (x 1,000)",v62216,5.1,298.0
1946,Quebec,"At June 1 (x 1,000)",v62216,5.1,282.0
1947,Quebec,"At June 1 (x 1,000)",v62216,5.1,281.0
1948,Quebec,"At June 1 (x 1,000)",v62216,5.1,287.0
1949,Quebec,"At June 1 (x 1,000)",v62216,5.1,265.0
1950,Quebec,"At June 1 (x 1,000)",v62216,5.1,247.0
1951,Quebec,"At June 1 (x 1,000)",v62216,5.1,232.9
1952,Quebec,"At June 1 (x 1,000)",v62216,5.1,220.0
1953,Quebec,"At June 1 (x 1,000)",v62216,5.1,215.0
1954,Quebec,"At June 1 (x 1,000)",v62216,5.1,188.0
1955,Quebec,"At June 1 (x 1,000)",v62216,5.1,174.0
1956,Quebec,"At June 1 (x 1,000)",v62216,5.1,163.5
1957,Quebec,"At June 1 (x 1,000)",v62216,5.1,148.0
1958,Quebec,"At June 1 (x 1,000)",v62216,5.1,135.0
1959,Quebec,"At June 1 (x 1,000)",v62216,5.1,121.0
1960,Quebec,"At June 1 (x 1,000)",v62216,5.1,108.0
1961,Quebec,"At June 1 (x 1,000)",v62216,5.1,97.4
1962,Quebec,"At June 1 (x 1,000)",v62216,5.1,92.0
1963,Quebec,"At June 1 (x 1,000)",v62216,5.1,83.0
1964,Quebec,"At June 1 (x 1,000)",v62216,5.1,76.0
1965,Quebec,"At June 1 (x 1,000)",v62216,5.1,68.0
1966,Quebec,"At June 1 (x 1,000)",v62216,5.1,62.1
1967,Quebec,"At June 1 (x 1,000)",v62216,5.1,58.0
1968,Quebec,"At June 1 (x 1,000)",v62216,5.1,55.0
1969,Quebec,"At June 1 (x 1,000)",v62216,5.1,52.0
1970,Quebec,"At June 1 (x 1,000)",v62216,5.1,46.0
1971,Quebec,"At June 1 (x 1,000)",v62216,5.1,43.5
1972,Quebec,"At June 1 (x 1,000)",v62216,5.1,41.0
1973,Quebec,"At June 1 (x 1,000)",v62216,5.1,39.0
1941,Quebec,"At December 1 (x 1,000)",v62226,5.2,323.0
1942,Quebec,"At December 1 (x 1,000)",v62226,5.2,305.0
1943,Quebec,"At December 1 (x 1,000)",v62226,5.2,309.0
1944,Quebec,"At December 1 (x 1,000)",v62226,5.2,318.0
1945,Quebec,"At December 1 (x 1,000)",v62226,5.2,304.0
1946,Quebec,"At December 1 (x 1,000)",v62226,5.2,300.0
1947,Quebec,"At December 1 (x 1,000)",v62226,5.2,289.0
1948,Quebec,"At December 1 (x 1,000)",v62226,5.2,276.0
1949,Quebec,"At December 1 (x 1,000)",v62226,5.2,252.0
1950,Quebec,"At December 1 (x 1,000)",v62226,5.2,237.0
1951,Quebec,"At December 1 (x 1,000)",v62226,5.2,224.9
1952,Quebec,"At December 1 (x 1,000)",v62226,5.2,217.0
1953,Quebec,"At December 1 (x 1,000)",v62226,5.2,200.0
1954,Quebec,"At December 1 (x 1,000)",v62226,5.2,181.0
1955,Quebec,"At December 1 (x 1,000)",v62226,5.2,168.0
1956,Quebec,"At December 1 (x 1,000)",v62226,5.2,153.0
1957,Quebec,"At December 1 (x 1,000)",v62226,5.2,139.0
1958,Quebec,"At December 1 (x 1,000)",v62226,5.2,125.0
1959,Quebec,"At December 1 (x 1,000)",v62226,5.2,113.0
1960,Quebec,"At December 1 (x 1,000)",v62226,5.2,101.0
1961,Quebec,"At December 1 (x 1,000)",v62226,5.2,94.0
1962,Quebec,"At December 1 (x 1,000)",v62226,5.2,88.0
1963,Quebec,"At December 1 (x 1,000)",v62226,5.2,79.0
1964,Quebec,"At December 1 (x 1,000)",v62226,5.2,72.0
1965,Quebec,"At December 1 (x 1,000)",v62226,5.2,68.0
1966,Quebec,"At December 1 (x 1,000)",v62226,5.2,61.0
1967,Quebec,"At December 1 (x 1,000)",v62226,5.2,57.0
1968,Quebec,"At December 1 (x 1,000)",v62226,5.2,53.0
1969,Quebec,"At December 1 (x 1,000)",v62226,5.2,52.0
1970,Quebec,"At December 1 (x 1,000)",v62226,5.2,44.0
1971,Quebec,"At December 1 (x 1,000)",v62226,5.2,41.3
1972,Quebec,"At December 1 (x 1,000)",v62226,5.2,41.0
1906,Ontario,"At June 1 (x 1,000)",v62217,6.1,739.7
1907,Ontario,"At June 1 (x 1,000)",v62217,6.1,764.5
1908,Ontario,"At June 1 (x 1,000)",v62217,6.1,788.9
1909,Ontario,"At June 1 (x 1,000)",v62217,6.1,794.2
1910,Ontario,"At June 1 (x 1,000)",v62217,6.1,794.2
1911,Ontario,"At June 1 (x 1,000)",v62217,6.1,812.2
1912,Ontario,"At June 1 (x 1,000)",v62217,6.1,807.5
1913,Ontario,"At June 1 (x 1,000)",v62217,6.1,807.9
1914,Ontario,"At June 1 (x 1,000)",v62217,6.1,822.3
1915,Ontario,"At June 1 (x 1,000)",v62217,6.1,816.1
1916,Ontario,"At June 1 (x 1,000)",v62217,6.1,802.1
1917,Ontario,"At June 1 (x 1,000)",v62217,6.1,781.5
1918,Ontario,"At June 1 (x 1,000)",v62217,6.1,737.6
1919,Ontario,"At June 1 (x 1,000)",v62217,6.1,714.4
1920,Ontario,"At June 1 (x 1,000)",v62217,6.1,689.5
1921,Ontario,"At June 1 (x 1,000)",v62217,6.1,669.1
1922,Ontario,"At June 1 (x 1,000)",v62217,6.1,661.2
1923,Ontario,"At June 1 (x 1,000)",v62217,6.1,649.1
1924,Ontario,"At June 1 (x 1,000)",v62217,6.1,640.6
1925,Ontario,"At June 1 (x 1,000)",v62217,6.1,621.6
1926,Ontario,"At June 1 (x 1,000)",v62217,6.1,607.8
1927,Ontario,"At June 1 (x 1,000)",v62217,6.1,596.2
1928,Ontario,"At June 1 (x 1,000)",v62217,6.1,588.8
1929,Ontario,"At June 1 (x 1,000)",v62217,6.1,586.4
1930,Ontario,"At June 1 (x 1,000)",v62217,6.1,586.8
1931,Ontario,"At June 1 (x 1,000)",v62217,6.1,577.3
1932,Ontario,"At June 1 (x 1,000)",v62217,6.1,575.8
1933,Ontario,"At June 1 (x 1,000)",v62217,6.1,569.7
1934,Ontario,"At June 1 (x 1,000)",v62217,6.1,556.9
1935,Ontario,"At June 1 (x 1,000)",v62217,6.1,553.7
1936,Ontario,"At June 1 (x 1,000)",v62217,6.1,551.0
1937,Ontario,"At June 1 (x 1,000)",v62217,6.1,543.9
1938,Ontario,"At June 1 (x 1,000)",v62217,6.1,544.0
1939,Ontario,"At June 1 (x 1,000)",v62217,6.1,540.2
1940,Ontario,"At June 1 (x 1,000)",v62217,6.1,538.5
1941,Ontario,"At June 1 (x 1,000)",v62217,6.1,532.0
1942,Ontario,"At June 1 (x 1,000)",v62217,6.1,522.0
1943,Ontario,"At June 1 (x 1,000)",v62217,6.1,512.0
1944,Ontario,"At June 1 (x 1,000)",v62217,6.1,491.0
1945,Ontario,"At June 1 (x 1,000)",v62217,6.1,470.0
1946,Ontario,"At June 1 (x 1,000)",v62217,6.1,445.0
1947,Ontario,"At June 1 (x 1,000)",v62217,6.1,420.0
1948,Ontario,"At June 1 (x 1,000)",v62217,6.1,384.0
1949,Ontario,"At June 1 (x 1,000)",v62217,6.1,356.0
1950,Ontario,"At June 1 (x 1,000)",v62217,6.1,327.0
1951,Ontario,"At June 1 (x 1,000)",v62217,6.1,260.6
1952,Ontario,"At June 1 (x 1,000)",v62217,6.1,219.0
1953,Ontario,"At June 1 (x 1,000)",v62217,6.1,200.0
1954,Ontario,"At June 1 (x 1,000)",v62217,6.1,172.0
1955,Ontario,"At June 1 (x 1,000)",v62217,6.1,151.0
1956,Ontario,"At June 1 (x 1,000)",v62217,6.1,139.6
1957,Ontario,"At June 1 (x 1,000)",v62217,6.1,130.0
1958,Ontario,"At June 1 (x 1,000)",v62217,6.1,115.0
1959,Ontario,"At June 1 (x 1,000)",v62217,6.1,102.0
1960,Ontario,"At June 1 (x 1,000)",v62217,6.1,95.0
1961,Ontario,"At June 1 (x 1,000)",v62217,6.1,88.9
1962,Ontario,"At June 1 (x 1,000)",v62217,6.1,85.0
1963,Ontario,"At June 1 (x 1,000)",v62217,6.1,84.0
1964,Ontario,"At June 1 (x 1,000)",v62217,6.1,83.0
1965,Ontario,"At June 1 (x 1,000)",v62217,6.1,79.0
1966,Ontario,"At June 1 (x 1,000)",v62217,6.1,75.4
1967,Ontario,"At June 1 (x 1,000)",v62217,6.1,76.0
1968,Ontario,"At June 1 (x 1,000)",v62217,6.1,78.0
1969,Ontario,"At June 1 (x 1,000)",v62217,6.1,77.0
1970,Ontario,"At June 1 (x 1,000)",v62217,6.1,76.0
1971,Ontario,"At June 1 (x 1,000)",v62217,6.1,79.9
1972,Ontario,"At June 1 (x 1,000)",v62217,6.1,78.0
1973,Ontario,"At June 1 (x 1,000)",v62217,6.1,78.0
1941,Ontario,"At December 1 (x 1,000)",v62227,6.2,527.0
1942,Ontario,"At December 1 (x 1,000)",v62227,6.2,521.0
1943,Ontario,"At December 1 (x 1,000)",v62227,6.2,500.0
1944,Ontario,"At December 1 (x 1,000)",v62227,6.2,480.0
1945,Ontario,"At December 1 (x 1,000)",v62227,6.2,478.0
1946,Ontario,"At December 1 (x 1,000)",v62227,6.2,445.0
1947,Ontario,"At December 1 (x 1,000)",v62227,6.2,413.0
1948,Ontario,"At December 1 (x 1,000)",v62227,6.2,376.0
1949,Ontario,"At December 1 (x 1,000)",v62227,6.2,342.0
1950,Ontario,"At December 1 (x 1,000)",v62227,6.2,303.0
1951,Ontario,"At December 1 (x 1,000)",v62227,6.2,242.9
1952,Ontario,"At December 1 (x 1,000)",v62227,6.2,214.0
1953,Ontario,"At December 1 (x 1,000)",v62227,6.2,192.0
1954,Ontario,"At December 1 (x 1,000)",v62227,6.2,165.0
1955,Ontario,"At December 1 (x 1,000)",v62227,6.2,143.0
1956,Ontario,"At December 1 (x 1,000)",v62227,6.2,127.0
1957,Ontario,"At December 1 (x 1,000)",v62227,6.2,125.0
1958,Ontario,"At December 1 (x 1,000)",v62227,6.2,105.0
1959,Ontario,"At December 1 (x 1,000)",v62227,6.2,99.0
1960,Ontario,"At December 1 (x 1,000)",v62227,6.2,92.0
1961,Ontario,"At December 1 (x 1,000)",v62227,6.2,87.0
1962,Ontario,"At December 1 (x 1,000)",v62227,6.2,83.0
1963,Ontario,"At December 1 (x 1,000)",v62227,6.2,84.0
1964,Ontario,"At December 1 (x 1,000)",v62227,6.2,81.0
1965,Ontario,"At December 1 (x 1,000)",v62227,6.2,79.0
1966,Ontario,"At December 1 (x 1,000)",v62227,6.2,76.0
1967,Ontario,"At December 1 (x 1,000)",v62227,6.2,75.0
1968,Ontario,"At December 1 (x 1,000)",v62227,6.2,76.0
1969,Ontario,"At December 1 (x 1,000)",v62227,6.2,76.0
1970,Ontario,"At December 1 (x 1,000)",v62227,6.2,78.0
1971,Ontario,"At December 1 (x 1,000)",v62227,6.2,81.2
1972,Ontario,"At December 1 (x 1,000)",v62227,6.2,76.0
1906,Manitoba,"At June 1 (x 1,000)",v62218,7.1,215.8
1907,Manitoba,"At June 1 (x 1,000)",v62218,7.1,228.7
1908,Manitoba,"At June 1 (x 1,000)",v62218,7.1,242.4
1909,Manitoba,"At June 1 (x 1,000)",v62218,7.1,254.3
1910,Manitoba,"At June 1 (x 1,000)",v62218,7.1,268.0
1911,Manitoba,"At June 1 (x 1,000)",v62218,7.1,280.4
1912,Manitoba,"At June 1 (x 1,000)",v62218,7.1,295.0
1913,Manitoba,"At June 1 (x 1,000)",v62218,7.1,306.8
1914,Manitoba,"At June 1 (x 1,000)",v62218,7.1,320.8
1915,Manitoba,"At June 1 (x 1,000)",v62218,7.1,323.1
1916,Manitoba,"At June 1 (x 1,000)",v62218,7.1,324.7
1917,Manitoba,"At June 1 (x 1,000)",v62218,7.1,337.5
1918,Manitoba,"At June 1 (x 1,000)",v62218,7.1,357.7
1919,Manitoba,"At June 1 (x 1,000)",v62218,7.1,341.2
1920,Manitoba,"At June 1 (x 1,000)",v62218,7.1,311.1
1921,Manitoba,"At June 1 (x 1,000)",v62218,7.1,355.8
1922,Manitoba,"At June 1 (x 1,000)",v62218,7.1,370.8
1923,Manitoba,"At June 1 (x 1,000)",v62218,7.1,354.7
1924,Manitoba,"At June 1 (x 1,000)",v62218,7.1,358.0
1925,Manitoba,"At June 1 (x 1,000)",v62218,7.1,344.6
1926,Manitoba,"At June 1 (x 1,000)",v62218,7.1,341.0
1927,Manitoba,"At June 1 (x 1,000)",v62218,7.1,328.3
1928,Manitoba,"At June 1 (x 1,000)",v62218,7.1,332.8
1929,Manitoba,"At June 1 (x 1,000)",v62218,7.1,342.2
1930,Manitoba,"At June 1 (x 1,000)",v62218,7.1,341.1
1931,Manitoba,"At June 1 (x 1,000)",v62218,7.1,324.6
1932,Manitoba,"At June 1 (x 1,000)",v62218,7.1,340.2
1933,Manitoba,"At June 1 (x 1,000)",v62218,7.1,304.5
1934,Manitoba,"At June 1 (x 1,000)",v62218,7.1,292.5
1935,Manitoba,"At June 1 (x 1,000)",v62218,7.1,292.1
1936,Manitoba,"At June 1 (x 1,000)",v62218,7.1,304.4
1937,Manitoba,"At June 1 (x 1,000)",v62218,7.1,315.4
1938,Manitoba,"At June 1 (x 1,000)",v62218,7.1,313.0
1939,Manitoba,"At June 1 (x 1,000)",v62218,7.1,301.0
1940,Manitoba,"At June 1 (x 1,000)",v62218,7.1,306.2
1941,Manitoba,"At June 1 (x 1,000)",v62218,7.1,301.8
1942,Manitoba,"At June 1 (x 1,000)",v62218,7.1,299.0
1943,Manitoba,"At June 1 (x 1,000)",v62218,7.1,287.0
1944,Manitoba,"At June 1 (x 1,000)",v62218,7.1,272.0
1945,Manitoba,"At June 1 (x 1,000)",v62218,7.1,242.0
1946,Manitoba,"At June 1 (x 1,000)",v62218,7.1,215.1
1947,Manitoba,"At June 1 (x 1,000)",v62218,7.1,193.0
1948,Manitoba,"At June 1 (x 1,000)",v62218,7.1,173.0
1949,Manitoba,"At June 1 (x 1,000)",v62218,7.1,156.0
1950,Manitoba,"At June 1 (x 1,000)",v62218,7.1,145.0
1951,Manitoba,"At June 1 (x 1,000)",v62218,7.1,130.9
1952,Manitoba,"At June 1 (x 1,000)",v62218,7.1,113.0
1953,Manitoba,"At June 1 (x 1,000)",v62218,7.1,94.0
1954,Manitoba,"At June 1 (x 1,000)",v62218,7.1,87.0
1955,Manitoba,"At June 1 (x 1,000)",v62218,7.1,80.0
1956,Manitoba,"At June 1 (x 1,000)",v62218,7.1,75.1
1957,Manitoba,"At June 1 (x 1,000)",v62218,7.1,71.0
1958,Manitoba,"At June 1 (x 1,000)",v62218,7.1,65.0
1959,Manitoba,"At June 1 (x 1,000)",v62218,7.1,60.0
1960,Manitoba,"At June 1 (x 1,000)",v62218,7.1,56.0
1961,Manitoba,"At June 1 (x 1,000)",v62218,7.1,50.8
1962,Manitoba,"At June 1 (x 1,000)",v62218,7.1,47.0
1963,Manitoba,"At June 1 (x 1,000)",v62218,7.1,45.0
1964,Manitoba,"At June 1 (x 1,000)",v62218,7.1,42.0
1965,Manitoba,"At June 1 (x 1,000)",v62218,7.1,40.0
1966,Manitoba,"At June 1 (x 1,000)",v62218,7.1,37.0
1967,Manitoba,"At June 1 (x 1,000)",v62218,7.1,36.0
1968,Manitoba,"At June 1 (x 1,000)",v62218,7.1,38.0
1969,Manitoba,"At June 1 (x 1,000)",v62218,7.1,38.0
1970,Manitoba,"At June 1 (x 1,000)",v62218,7.1,35.0
1971,Manitoba,"At June 1 (x 1,000)",v62218,7.1,33.1
1972,Manitoba,"At June 1 (x 1,000)",v62218,7.1,31.0
1973,Manitoba,"At June 1 (x 1,000)",v62218,7.1,31.0
1941,Manitoba,"At December 1 (x 1,000)",v62228,7.2,304.0
1942,Manitoba,"At December 1 (x 1,000)",v62228,7.2,301.0
1943,Manitoba,"At December 1 (x 1,000)",v62228,7.2,285.0
1944,Manitoba,"At December 1 (x 1,000)",v62228,7.2,264.0
1945,Manitoba,"At December 1 (x 1,000)",v62228,7.2,231.0
1946,Manitoba,"At December 1 (x 1,000)",v62228,7.2,210.0
1947,Manitoba,"At December 1 (x 1,000)",v62228,7.2,178.0
1948,Manitoba,"At December 1 (x 1,000)",v62228,7.2,165.0
1949,Manitoba,"At December 1 (x 1,000)",v62228,7.2,152.0
1950,Manitoba,"At December 1 (x 1,000)",v62228,7.2,138.0
1951,Manitoba,"At December 1 (x 1,000)",v62228,7.2,118.0
1952,Manitoba,"At December 1 (x 1,000)",v62228,7.2,99.0
1953,Manitoba,"At December 1 (x 1,000)",v62228,7.2,92.0
1954,Manitoba,"At December 1 (x 1,000)",v62228,7.2,85.0
1955,Manitoba,"At December 1 (x 1,000)",v62228,7.2,78.0
1956,Manitoba,"At December 1 (x 1,000)",v62228,7.2,73.0
1957,Manitoba,"At December 1 (x 1,000)",v62228,7.2,69.0
1958,Manitoba,"At December 1 (x 1,000)",v62228,7.2,62.0
1959,Manitoba,"At December 1 (x 1,000)",v62228,7.2,59.0
1960,Manitoba,"At December 1 (x 1,000)",v62228,7.2,55.0
1961,Manitoba,"At December 1 (x 1,000)",v62228,7.2,49.0
1962,Manitoba,"At December 1 (x 1,000)",v62228,7.2,46.0
1963,Manitoba,"At December 1 (x 1,000)",v62228,7.2,44.0
1964,Manitoba,"At December 1 (x 1,000)",v62228,7.2,42.0
1965,Manitoba,"At December 1 (x 1,000)",v62228,7.2,40.0
1966,Manitoba,"At December 1 (x 1,000)",v62228,7.2,36.0
1967,Manitoba,"At December 1 (x 1,000)",v62228,7.2,36.0
1968,Manitoba,"At December 1 (x 1,000)",v62228,7.2,36.0
1969,Manitoba,"At December 1 (x 1,000)",v62228,7.2,38.0
1970,Manitoba,"At December 1 (x 1,000)",v62228,7.2,34.0
1971,Manitoba,"At December 1 (x 1,000)",v62228,7.2,33.1
1972,Manitoba,"At December 1 (x 1,000)",v62228,7.2,32.0
1906,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,240.6
1907,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,300.6
1908,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,360.7
1909,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,387.4
1910,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,462.2
1911,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,507.5
1912,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,575.7
1913,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,644.6
1914,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,728.8
1915,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,811.9
1916,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,834.2
1917,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,856.5
1918,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,948.4
1919,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,1018.7
1920,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,1048.3
1921,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,1077.9
1922,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,1055.0
1923,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,1049.3
1924,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,1080.6
1925,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,1080.3
1926,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,1104.3
1927,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,1080.8
1928,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,1065.8
1929,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,1057.8
1930,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,1023.9
1931,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,997.4
1932,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,962.0
1933,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,944.4
1934,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,928.6
1935,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,929.1
1936,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,898.3
1937,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,862.7
1938,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,790.8
1939,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,779.4
1940,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,786.6
1941,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,800.7
1942,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,801.0
1943,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,765.0
1944,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,729.0
1945,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,665.0
1946,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,570.4
1947,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,493.0
1948,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,440.0
1949,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,398.0
1950,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,355.0
1951,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,303.9
1952,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,280.0
1953,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,254.0
1954,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,197.0
1955,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,180.0
1956,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,170.7
1957,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,160.0
1958,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,148.0
1959,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,132.0
1960,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,120.0
1961,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,110.3
1962,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,98.0
1963,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,89.0
1964,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,83.0
1965,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,78.0
1966,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,74.7
1967,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,67.0
1968,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,61.0
1969,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,58.0
1970,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,67.0
1971,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,65.1
1972,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,67.0
1973,Saskatchewan,"At June 1 (x 1,000)",v62219,8.1,64.0
1941,Saskatchewan,"At December 1 (x 1,000)",v62229,8.2,786.0
1942,Saskatchewan,"At December 1 (x 1,000)",v62229,8.2,782.0
1943,Saskatchewan,"At December 1 (x 1,000)",v62229,8.2,760.0
1944,Saskatchewan,"At December 1 (x 1,000)",v62229,8.2,717.0
1945,Saskatchewan,"At December 1 (x 1,000)",v62229,8.2,655.0
1946,Saskatchewan,"At December 1 (x 1,000)",v62229,8.2,555.0
1947,Saskatchewan,"At December 1 (x 1,000)",v62229,8.2,469.0
1948,Saskatchewan,"At December 1 (x 1,000)",v62229,8.2,413.0
1949,Saskatchewan,"At December 1 (x 1,000)",v62229,8.2,380.0
1950,Saskatchewan,"At December 1 (x 1,000)",v62229,8.2,326.0
1951,Saskatchewan,"At December 1 (x 1,000)",v62229,8.2,295.0
1952,Saskatchewan,"At December 1 (x 1,000)",v62229,8.2,279.0
1953,Saskatchewan,"At December 1 (x 1,000)",v62229,8.2,224.0
1954,Saskatchewan,"At December 1 (x 1,000)",v62229,8.2,193.0
1955,Saskatchewan,"At December 1 (x 1,000)",v62229,8.2,173.0
1956,Saskatchewan,"At December 1 (x 1,000)",v62229,8.2,164.0
